time,tickets,zip,city,state,latitude,longitude,timezone,dst
8/17/2015 19:23:33,2,11211,Brooklyn,NY,40.71209,-73.95427,-5.0,1.0
8/17/2015 19:28:10,2,45214,Cincinnati,OH,39.12056,-84.53575,-5.0,1.0
8/17/2015 19:28:32,1,44121,Cleveland,OH,41.526151,-81.53309,-5.0,1.0
8/17/2015 19:28:55,3,07701,Red Bank,NJ,40.352953,-74.07703000000001,-5.0,1.0
8/17/2015 19:31:10,1,13502,Utica,NY,43.114519,-75.22284,-5.0,1.0
8/17/2015 19:31:55,1,80401,Golden,CO,39.735745,-105.19337,-7.0,1.0
8/17/2015 19:32:19,1,12203,Albany,NY,42.678112,-73.82983,-5.0,1.0
8/17/2015 19:32:53,4,07003,Bloomfield,NJ,40.803000000000004,-74.18895,-5.0,1.0
8/17/2015 19:33:28,3,10012,New York,NY,40.72596,-73.99834,-5.0,1.0
8/17/2015 19:35:12,1,44122,Beachwood,OH,41.472881,-81.52209,-5.0,1.0
8/17/2015 19:35:38,4,29212,Columbia,SC,34.075611,-81.17611,-5.0,1.0
8/17/2015 19:41:19,2,05261,Pownal,VT,42.776384,-73.21395,-5.0,1.0
8/17/2015 19:44:18,4,12345,Schenectady,NY,42.833261,-74.058015,-5.0,1.0
8/17/2015 19:54:39,1,28117,Mooresville,NC,35.571827,-80.89228,-5.0,1.0
8/17/2015 20:11:00,3,18974,Warminster,PA,40.211240999999994,-75.0887,-5.0,1.0
8/17/2015 20:25:28,1,29483,Summerville,SC,33.034586,-80.18599,-5.0,1.0
8/17/2015 20:26:55,5,10011,New York,NY,40.741012,-74.00012,-5.0,1.0
8/17/2015 20:29:23,2,17120,Harrisburg,PA,40.265689,-76.882745,-5.0,1.0
8/17/2015 20:29:31,1,10003,New York,NY,40.732509,-73.98935,-5.0,1.0
8/17/2015 20:30:09,3,19146,Philadelphia,PA,39.938512,-75.18066999999999,-5.0,1.0
8/17/2015 20:30:10,1,11215,Brooklyn,NY,40.667508000000005,-73.9856,-5.0,1.0
8/17/2015 20:31:53,2,14201,Buffalo,NY,42.896407,-78.88515,-5.0,1.0
8/17/2015 20:31:59,2,14607,Rochester,NY,43.149863,-77.58962,-5.0,1.0
8/17/2015 20:32:05,1,60641,Chicago,IL,41.946431,-87.74576,-6.0,1.0
8/17/2015 20:36:13,2,18705,Wilkes Barre,PA,41.268231,-75.84569,-5.0,1.0
8/17/2015 20:36:33,1,90027,Los Angeles,CA,34.111208000000005,-118.28842,-8.0,1.0
8/17/2015 20:37:10,3,11215,Brooklyn,NY,40.667508000000005,-73.9856,-5.0,1.0
8/17/2015 20:40:16,5,92011,,,,,,
8/17/2015 20:40:31,5,16057,Slippery Rock,PA,41.047157,-80.05506,-5.0,1.0
8/17/2015 20:40:52,5,15055,Lawrence,PA,40.304019,-80.12246,-5.0,1.0
8/17/2015 20:43:27,2,20137,Broad Run,VA,38.810629,-77.7057,-5.0,1.0
8/17/2015 20:43:49,2,02891,Westerly,RI,41.354881,-71.80386999999999,-5.0,1.0
8/17/2015 20:43:51,1,94117,San Francisco,CA,37.770936999999996,-122.44276,-8.0,1.0
8/17/2015 20:51:00,1,10009,New York,NY,40.727092999999996,-73.97864,-5.0,1.0
8/17/2015 20:51:48,1,46563,Plymouth,IN,41.347159000000005,-86.32023000000001,-5.0,0.0
8/17/2015 20:57:15,5,07005,Boonton,NJ,40.912797999999995,-74.41516,-5.0,1.0
8/17/2015 20:57:16,3,02446,Brookline,MA,42.344747,-71.12141,-5.0,1.0
8/17/2015 20:59:18,1,14222,Buffalo,NY,42.917657,-78.8779,-5.0,1.0
8/17/2015 20:59:30,1,01610,Worcester,MA,42.248492999999996,-71.80793,-5.0,1.0
8/17/2015 21:01:49,1,05401,Burlington,VT,44.484038,-73.22126,-5.0,1.0
8/17/2015 21:02:50,2,19125,Philadelphia,PA,39.978162,-75.12565,-5.0,1.0
8/17/2015 21:03:42,2,30116,Carrollton,GA,33.560454,-85.02254,-5.0,1.0
8/17/2015 21:06:32,1,60641,Chicago,IL,41.946431,-87.74576,-6.0,1.0
8/17/2015 21:06:37,1,60641,Chicago,IL,41.946431,-87.74576,-6.0,1.0
8/17/2015 21:07:12,1,05401,Burlington,VT,44.484038,-73.22126,-5.0,1.0
8/17/2015 21:07:19,1,06516,West Haven,CT,41.272147,-72.96495999999999,-5.0,1.0
8/17/2015 21:10:26,2,62903,Carbondale,IL,37.758646,-89.41583100000001,-6.0,1.0
8/17/2015 21:11:13,2,28803,Asheville,NC,35.54179,-82.52306999999999,-5.0,1.0
8/17/2015 21:21:02,1,07719,Belmar,NJ,40.175357,-74.04694,-5.0,1.0
8/17/2015 21:21:06,2,11211,Brooklyn,NY,40.71209,-73.95427,-5.0,1.0
8/17/2015 21:26:46,2,05462,Huntington,VT,44.304004,-72.97999,-5.0,1.0
8/17/2015 21:27:13,2,08867,Pittstown,NJ,40.583034999999995,-74.96224000000001,-5.0,1.0
8/17/2015 21:27:50,1,10026,New York,NY,40.802853000000006,-73.95470999999999,-5.0,1.0
8/17/2015 21:28:45,4,83001,Jackson,WY,43.468383,-110.75713999999999,-7.0,1.0
8/17/2015 21:34:00,2,11201,Brooklyn,NY,40.695285999999996,-73.98907,-5.0,1.0
8/17/2015 21:48:25,4,40004,Bardstown,KY,37.81109,-85.46164,-5.0,1.0
8/17/2015 21:48:54,2,44070,North Olmsted,OH,41.415096999999996,-81.91436,-5.0,1.0
8/17/2015 21:48:58,1,03782,Sunapee,NH,43.381133,-72.09028,-5.0,1.0
8/17/2015 21:49:39,1,01453,Leominster,MA,42.526523,-71.75358,-5.0,1.0
8/17/2015 21:49:56,1,92587,Sun City,CA,33.692876,-117.25038,-8.0,1.0
8/17/2015 21:50:31,1,21093,Lutherville Timonium,MD,39.435789,-76.63614,-5.0,1.0
8/17/2015 21:51:09,4,44107,Lakewood,OH,41.480881,-81.80036,-5.0,1.0
8/17/2015 21:52:48,3,17857,Northumberland,PA,40.899361,-76.78947,-5.0,1.0
8/17/2015 21:52:50,3,93103,Santa Barbara,CA,34.428191,-119.68412,-8.0,1.0
